Decision,GPA,ACT,SAT II,Gender,Ethnicity,Essay,Recommendation,School Type,Region
1,4,36,745,1,-1,9,8.5,0,0
0,3.8,31,706,1,1,9,7.3,0,1
0,4,35,720,1,-1,9.5,8.5,0,0
1,4,35,780,1,0,9,8.2,0,1
0,3.9,35,775,0,-1,7,9.2,0,3
0,3.9,35,790,0,-1,9,9.8,1,0
0,3.97,35,763,1,-1,8,9.8,0,2
1,3.98,34,760,1,1,8,9,1,2
0,3.8,35,740,1,-1,8.5,8,1,0
1,3.9,34,740,0,0,8,9.8,1,2
1,3.98,35,765,0,0,8.6,9.3,1,2
1,4,36,776,0,0,9.4,9.2,0,0
1,4,34,746,0,2,7.6,8.3,0,3
0,3.84,33,770,1,2,7,8.7,0,1
1,3.9,32,685,1,1,8,9,0,2
1,3.81,33,725,1,1,9,8.5,0,3
1,3.99,35,770,0,0,8.2,9,0,1
1,4,36,797,0,-1,9,9,1,0
1,4,36,780,0,1,9.2,7.8,0,0
1,3.98,36,757,1,0,7,8.5,0,2
0,4,35,785,0,0,9.1,9.5,0,2
1,4,35,730,0,2,9.5,8.6,0,0
1,4,36,780,0,1,9.5,8.8,0,0
1,4,35,796,1,-1,7.5,8,0,3
1,3.95,35,640,1,0,10,8,0,4
0,4,34,800,0,0,9,8.3,0,0
0,3.92,36,720,0,0,8,8.5,0,1
1,3.9,35,795,0,0,8,9,1,0
0,3.76,35,775,0,-1,9.5,9.2,0,3
0,3.92,35,780,1,-1,7.7,9.5,0,2
0,3.7,35,752,1,0,9.3,10,0,1
1,4,35,763,1,0,9.3,9,0,1
1,4,35,755,0,-1,6.4,7,0,2
0,3.98,30,740,1,1,9,8.7,0,2
1,4,36,800,1,-1,8,8.8,0,0
0,3.87,35,780,0,-1,7,8.7,0,2
1,3.92,35,765,1,-1,9,8.6,0,2
1,4,36,746,1,0,7.5,7.8,0,0
0,4,34,800,0,0,7.1,7.4,0,2
1,3.88,36,766,1,0,9.8,9.5,0,1
0,3.7,30,710,1,0,8,8.7,0,0
0,4,34,760,1,-1,8.3,7.5,0,3
0,3.91,35,770,1,0,8,8.6,0,0
0,3.89,34,740,1,-1,6,7.2,0,3
1,3.98,34,790,0,0,8.6,8.2,0,1
1,4,34,760,1,-1,8.9,9.8,0,2
0,4,33,750,1,0,8.2,8,0,0
1,4,35,710,0,0,9.5,8.7,1,0
0,4,34,746,0,0,9,7.7,0,2
1,3.88,34,740,1,-1,5,6.8,0,0
1,3.9,36,763,0,-1,7,9,0,3
0,3.83,34,750,0,1,8.5,9.7,1,2
0,3.89,35,790,1,-1,7.5,7,0,2
0,3.98,32,760,1,0,8,8.5,0,2
0,3.9,34,720,0,0,8.8,8.2,0,0
1,3.6,34,715,0,2,9.5,8.2,1,0
1,3.8,33,753,0,2,9,9,1,2
1,4,36,790,0,-1,8,9.5,0,3
1,4,31,694,0,0,9.5,8,0,0
0,3.5,33,699,1,-1,6,9,0,1
0,3.8,36,767,1,0,10,8.5,0,1
1,4,30,677,1,1,10,10,0,4
1,3.67,31,700,0,1,8,10,1,3
1,3.85,35,765,0,-1,9,8.3,1,4
1,3.9,35,773,0,1,8,8.5,0,2
1,3.98,35,705,0,1,8.5,8,0,3
1,4,36,800,1,-1,8.2,8,0,3
1,4,33,742,0,1,2,7,0,3
1,3.9,27,656,1,2,10,9.8,0,3
1,3.7,32,723,0,1,10,10,0,4
1,3.89,35,765,0,1,7.5,6.5,0,2
1,3.82,35,770,0,0,8,6.5,0,0
1,3.93,36,740,0,0,9,9.8,0,3
1,3.93,32,710,1,1,8.5,8.5,0,3
1,3.96,34,745,1,-1,10,8.7,1,0
0,3.87,35,763,1,-1,9,9.8,0,2
0,3.97,34,750,0,1,10,8,0,1
1,4,35,733,1,0,10,10,0,3
1,4,35,773,1,-1,7.5,8,1,3
1,3.9,36,780,0,0,9,10,0,0
0,3.8,35,740,1,-1,8.5,8,1,0
0,4,27,720,0,1,7,7.9,0,3
0,3.59,35,735,0,0,8.5,8.7,1,0
0,3.67,35,750,0,-1,10,8.7,0,2
1,3.9,35,764,1,-1,9,9,0,0
1,3.87,32,710,1,2,7.8,8,0,4
1,3.5,32,710,1,-1,9,7.7,1,3
1,3.98,33,730,1,2,8,8,0,3
1,3.89,36,780,0,1,9,8.5,1,4
1,3.82,33,780,0,2,8,8,0,2
1,3.95,33,693,1,1,9,9,0,1
0,3.31,34,680,0,0,9,7.8,0,3
1,3.96,35,793,0,0,9,8.5,0,3
1,3.9,35,745,1,-1,9,8.3,0,0
1,3.88,36,780,0,1,9,8.8,0,2
1,3.92,36,786,1,-1,8.8,9,0,2
1,3.7,30,680,1,0,4,9,1,4
1,3.92,35,703,1,-1,8,7.8,0,2
1,3.9,32,700,1,-1,7.5,8.3,0,2
1,3.9,33,730,1,0,10,9.3,0,2
1,4,34,800,0,0,9,8.3,0,0
0,3.79,33,765,0,-1,6.5,7,0,3
0,3.7,35,760,0,-1,7,8,0,0
0,3.65,35,726,0,-1,7.8,7.7,0,4
1,3.6,33,718,1,-1,8,8.9,0,2
0,3.6,33,718,0,0,8.5,8,0,4
1,4,32,711,1,-1,10,10,0,0
0,3.7,36,750,0,-1,8,9.8,1,2
0,3.9,32,756,1,-1,7,9,0,2
0,3.88,30,684,0,0,9,9.5,1,3
0,3.8,32,723,1,0,6.2,8.7,0,1
1,3.91,34,751,1,0,8.5,9,0,2
1,3.96,35,745,0,-1,8.5,6,0,1
1,3.929,35,730,1,0,9,8,0,1
1,3.92,33,733,0,0,9,9,0,0
1,3.8426,33,773,0,-1,9.8,9.7,0,0
0,3.9,35,755,1,-1,8.5,10,0,2
0,4,34,733,1,0,8.2,8,0,0
1,3.82,35,723,0,1,8.5,8.5,0,3
1,4,35,763,1,0,9.5,9.3,0,0
0,3.8,33,690,0,0,8.8,9.5,0,0
1,3.8,34,676,1,0,9,9,0,0
1,3.95,33,760,0,0,9.7,9.5,0,1
1,4,35,750,0,0,9.2,8.6,0,3
1,3.98,32,633,1,0,8.2,7.6,0,0
0,3.51,34,775,0,-1,9.5,9,0,2
0,3.65,34,745,0,0,7.5,8.9,1,3
0,3.85,34,765,0,0,8,8.5,0,3
1,3.9,34,715,1,0,9,7.7,1,3
1,3.84,34,740,1,0,8.5,8.5,0,3
1,4,35,765,1,-1,8.2,8.3,0,2
1,3.8,33,710,0,1,8.8,7.8,0,0
1,4,33,770,0,0,9,5,0,3
1,3.84,29,669,1,1,9.5,9,0,3
1,3.75,33,775,1,-1,8,8,0,4
1,3.85,35,780,1,1,9,9,0,0
0,3.99,36,800,0,-1,9,9,0,0
0,3.6,33,710,1,0,8.5,8.7,1,3
1,3.93,33,773,1,-1,8,9,0,4
0,3.93,35,760,0,-1,9,7.3,0,2
1,4,35,740,0,-1,10,7,0,4
1,4,35,736,0,1,7.5,9.5,0,3
1,3.77,35,800,0,0,8,8.7,0,3
1,4,34,760,1,0,8,9,0,1
1,3.9,33,734,0,-1,9,8.7,0,3
1,4,35,783,1,-1,7.7,8,0,2
0,4,36,800,1,-1,8,8.8,0,0
1,3.77,35,793,0,0,7,9,0,0
1,3.9,29,665,1,2,10,10,0,3
1,3.78,34,747,1,1,8.5,7.8,0,3
1,3.9,31,700,0,1,8.8,9,0,3
1,3.99,32,775,1,0,7,8.2,0,1
1,3.5,31,615,0,2,9,8.7,1,4
1,3.9,31,700,0,1,8.8,8.3,0,3
1,3.85,34,751,0,-1,8.2,8.4,0,1
1,3.98,30,740,1,1,6,10,0,2
1,4,35,772,1,1,7,10,0,3
1,3.85,33,710,0,1,7,8.7,1,0
1,3.94,35,735,0,0,9,9.3,1,0
0,3.81,30,676,1,0,9,9.5,0,3
0,3.94,35,795,0,-1,8,7.5,0,3
0,3.94,35,795,0,-1,8,7.5,0,3
1,3.8,34,740,0,0,8.5,8,1,3
1,3.7,34,742,0,-1,8.5,8,0,3
1,4,34,746,1,0,9.2,9.2,1,3
1,3.95,33,770,1,-1,8,9.5,1,2
0,3.73,32,795,1,-1,8.5,8.8,0,2
1,3.8,34,748,1,0,10,9.2,0,4
0,4,30,677,1,0,7,8,0,4
1,3.98,32,705,1,-1,7,8.8,0,0
1,4,35,763,1,0,9,10,0,3
1,4,33,729,1,-1,8.5,8.7,0,3
0,4,35,800,1,-1,8,9,1,3
1,3.9,36,780,1,0,8.5,8.3,0,0
1,3.9,36,780,1,0,8.5,8,0,0
1,3.97,31,690,0,2,10,9,0,4
1,3.81,36,780,1,-1,9,8.2,1,1
1,3.75,35,800,0,-1,9,8.2,0,0
1,3.95,35,795,1,-1,8.2,7.7,0,2
1,3.87,34,755,0,-1,8.5,8.4,0,4
1,3.92,35,785,1,-1,5.5,7,0,3
1,3.8,35,758,0,0,7.4,8,1,4
1,3.954,32,655,0,0,8.5,7.3,0,2
1,3.92,35,725,0,-1,10,6,0,3
1,3.91,31,699,1,2,9,9.7,1,0
1,3.76,35,730,1,-1,9.5,8.8,0,2
0,3.76,34,776,1,-1,8,9.1,0,2
1,3.97,33,730,1,0,9,9.2,0,4
1,3.8,36,785,1,-1,6.2,7.3,0,1
0,3.7,35,750,0,0,8,8.7,1,2
1,4,31,694,1,0,8,8,1,3
0,3.67,31,700,1,1,7.5,9,1,0
0,3.6,32,700,1,0,10,9.2,0,2
1,3.65,34,750,0,-1,10,8,0,1
1,3.85,35,770,1,-1,8.2,6.3,0,0
1,4,34,750,1,0,9,8.7,1,1
0,4,35,800,1,-1,8.5,8.3,0,0
1,4,36,790,0,-1,8,8,0,1
0,3.98,34,760,0,0,9.5,7,0,2
1,3.97,34,750,0,1,10,8,0,1
0,3.8,36,735,0,1,8,8.3,0,3
1,4,34,756,0,-1,9.5,9,0,2
1,2.8,35,763,0,2,10,8.8,0,2
1,3.93,36,781,0,-1,10,9.5,0,2
1,3.38,34,716,1,2,10,9,1,0
0,4,33,720,1,0,10,10,0,0
1,3.8,34,755,0,-1,7,8,0,3
0,3.87,35,780,0,-1,7,8.7,0,2
1,3.97,35,760,0,0,9,8.8,0,1
1,3.94,33,732,0,0,9,8.3,0,1
1,4,36,800,1,-1,8.5,8.5,0,0
0,3.8,31,706,0,2,8.5,10,0,1
0,3.8,35,720,0,-1,6,9,0,1
0,3.9,35,756,0,0,8,8.5,0,3
0,3.7,34,750,1,-1,9.3,8.8,1,3
1,3.985,34,750,1,-1,8.7,9,0,2
1,4,34,800,1,-1,8,8.5,0,2
1,3.6,36,700,1,1,7,8.6,0,3
1,3.72,34,743,1,0,9,8.6,0,1
1,3.98,34,773,0,-1,8.5,8.3,0,0
1,4,35,800,0,0,9.3,9.5,1,2
0,4,34,750,0,0,10,9.2,0,1
0,3.98,35,756,0,0,7.3,7.5,0,0
1,4,35,795,0,-1,8.7,8.8,0,3
0,3.98,35,756,0,0,7.3,7.5,0,0
1,3.89,32,773,0,0,8,6,0,1
0,3.8,31,710,0,0,8.6,9.6,1,2
1,3.97,34,780,0,-1,7,8.4,0,2
1,4,35,786,0,-1,7,8.2,0,2
1,4,30,677,1,2,8,8.6,0,2
0,3.88,36,800,0,-1,9,8.8,0,0
1,3.7,33,715,1,0,9,9.2,0,0
1,4,32,705,0,1,10,9,0,1
0,3.98,35,775,0,-1,8.5,8.5,0,2
0,3.756,32,725,1,0,8.3,8.6,0,1
0,3.94,34,710,1,0,8.3,9,0,3
1,3.9,35,765,0,-1,8.3,7.8,0,1
1,4,35,795,0,0,7.3,8.5,0,0
1,4,35,763,0,0,9.3,9.8,1,2
1,3.86,35,765,0,0,9.7,9.4,1,0
1,3.97,31,696,1,1,8,8.7,0,2
1,3.98,31,660,1,0,9.5,9.3,0,3
1,4,35,745,0,0,8.3,8.5,0,0
1,3.98,34,760,0,0,9.5,8.5,0,2
1,4,34,760,0,2,9,8.5,0,2
0,3.8,35,740,1,-1,7.5,8,1,0
1,3.94,35,790,0,0,7,10,0,1
1,3.9,34,775,1,-1,9.3,7.8,0,0
1,4,33,730,0,0,10,10,0,4
1,4,35,760,0,-1,5,7.7,0,1
1,3.97,35,763,1,-1,9.3,9.2,0,2
1,3.98,34,760,0,0,8,7,0,2
0,3.95,33,725,0,0,7.5,8.7,0,3
1,3.9,33,776,0,1,9,9.1,0,2
1,3.94,34,749,1,-1,7,8.8,0,3
1,3.98,34,760,0,0,8,7,0,2
1,3.95,35,793,0,-1,8,8.5,0,1
1,4,35,756,1,-1,7.5,9,0,4
1,4,36,800,0,0,7,7.5,0,3
0,3.96,36,765,1,-1,7,6.7,0,3
1,3.97,35,756,0,0,8,9.5,0,1
1,4,35,793,0,0,7.3,7.3,0,2
0,3.97,30,679,0,1,9.7,10,0,3
1,4,35,763,0,0,8,9,0,1
1,3.75,34,725,1,0,8.7,9,0,4
0,3.93,34,743,1,-1,6.5,8.5,0,2
1,4,33,729,0,-1,9,8.5,0,3
0,3.8,34,723,1,0,3,5,0,0
1,4,34,746,1,0,9,10,0,0
1,4,35,763,0,0,8,9,0,1
1,3.7,35,752,0,0,9.5,8.2,0,0
1,4,36,790,1,0,8,8.8,0,3
1,3.91,35,764,0,0,9.3,9.2,0,1
1,3.72,33,750,0,0,9,8.9,1,0
1,3.3,36,770,0,1,10,9.9,0,0
1,4,34,746,1,0,9,8.8,0,0
1,3.977,35,780,0,-1,7,8.5,0,3
1,3.9,31,770,1,1,8.3,9.2,0,0
1,4,35,790,1,-1,8.8,8.7,0,0
1,4,35,770,0,-1,10,9,0,3
1,4,35,765,0,-1,8,8,0,3
1,3.95,33,732,0,0,9,8.3,0,4
1,4,36,786,0,-1,6.5,10,0,0
1,4,35,790,1,0,8.3,9.5,0,4
0,3.9,34,770,0,-1,9,8.8,0,0
0,3.71,32,724,0,0,8.7,9.3,0,2
1,3.94,35,780,0,-1,9,9.1,0,0
1,4,34,745,1,0,8.3,8.3,0,2
1,3.85,34,751,1,0,3.3,10,0,1
1,4,35,765,1,0,8.7,8.7,0,0
0,3.95,34,800,0,0,8.5,7.9,0,4
0,4,36,800,0,-1,9.5,8,0,2
1,4,35,795,0,0,8.5,8.2,0,3
1,4,36,775,1,1,8,9,0,0
0,3.76,33,736,1,0,7.5,8.5,1,1
0,4,30,677,1,-1,8,7.7,0,4
1,4,35,756,0,0,8.7,8.8,0,2
1,3.95,35,766,0,0,3,7.3,0,3
1,3.75,34,800,0,1,8.7,8.7,1,2
0,3.94,34,740,1,0,9,8.8,0,0
0,4,36,800,1,-1,8.5,8,0,3
0,4,34,756,0,-1,8.5,9,0,4
0,4,36,763,0,0,8,8.5,0,0
1,3.85,35,775,1,0,8.5,9.2,0,4
1,3.79,35,785,0,0,8,9,0,1
