Decision,GPA,ACT,SAT II,Gender,Ethnicity,Essay,Recommendation,School Type,Region
0,4,33,710,0,0,10,10,0,3
1,3.92,34,751,1,0,9,10,1,1
1,3.98,30,678,1,-1,8.2,8,0,3
1,3.89,33,735,1,-1,8.4,6.5,0,2
0,3.77,35,783,1,-1,9,9.5,1,2
0,3.59,34,705,1,0,8,8.7,0,2
1,4,30,677,0,0,9,8,1,3
0,3.73,34,744,1,-1,9,10,0,2
1,3.87,32,719,0,2,10,9,0,2
1,3.9,33,720,0,0,9,8,0,0
0,3.71,27,603,1,2,10,9.2,1,0
0,3.9,35,777,1,-1,8,9,0,2
1,3.9,34,745,0,0,9,9.3,1,4
1,3.86,31,702,1,1,9.5,9,0,3
0,3.84,34,725,1,0,8,7,1,3
1,3.75,34,745,1,0,8,8,0,0
0,4,32,685,1,0,9,10,0,0
1,4,33,635,0,0,9,9.8,0,4
1,3.84,33,770,1,2,8.5,8.7,0,1
0,3.1,30,720,0,-1,6.5,6.8,0,3
1,3.89,32,695,1,1,8,9.5,1,2
0,3.73,30,680,1,-1,10,9,0,2
1,4,34,630,1,0,9,9.3,0,0
1,3.6,26,540,1,-1,10,8.2,0,0
1,3.7,29,654,1,0,8.5,8.8,0,0
1,4,33,730,1,1,9,10,0,3
1,4,32,711,1,0,8.5,9.7,0,4
1,3.89,34,720,1,-1,5.5,8.7,0,3
1,4,33,666,0,0,8,9.8,1,1
1,3.7,32,710,0,-1,8,7,1,3
1,3.7,34,775,0,0,9,8.3,0,0
1,3.6,32,700,1,-1,8.5,7,1,1
0,2.87,29,693,0,2,4.8,5,0,2
1,4,32,690,1,0,8,7,1,2
1,3.9886,34,747,1,0,10,10,0,3
1,3.9,32,717,1,-1,7,9,0,3
1,4,33,725,0,0,8.5,9,1,0
0,3.9,30,683,1,0,8.5,7.5,0,2
1,3.5,26,589,1,2,4,6,0,0
1,3.83,31,670,1,0,8,9,1,0
1,3.89,33,700,1,0,9,9,0,3
1,3.9,30,683,0,0,8,9.5,0,4
1,3.94,35,735,0,0,9,8.7,0,2
1,4,34,746,1,0,6.5,7.6,0,1
1,3.9,35,790,1,0,8,7.7,0,0
1,3.985,33,730,1,0,8.5,9,0,2
1,3.7,34,680,0,-1,6.5,7.5,0,0
1,3.75,34,745,1,0,9,8.7,0,0
1,3.78,33,800,0,0,8.5,8.7,1,3
1,3.76,34,700,0,0,8.5,8,1,0
1,3.975,33,725,1,0,8,10,0,3
0,2.9,30,694,0,-1,9,8,0,4
1,3.5,36,769,1,0,8,5,0,0
1,3.8,34,755,1,0,6,8.3,0,0
1,3.76,32,760,1,1,10,10,0,3
1,3.8,30,688,0,0,10,9.3,1,3
1,3.62,33,730,0,-1,9,8.7,0,0
1,4,36,773,1,0,8,7.7,1,3
1,3.63,32,708,1,0,6.8,9,0,1
1,3.91,34,723,1,0,7,8.8,0,0
1,3.81,33,739,0,-1,9,9,0,2
1,3.75,31,743,1,1,10,10,0,4
1,3.7045,33,695,0,0,5,9,0,2
1,4,34,746,1,0,6.5,8,0,1
1,3.6,36,766,0,-1,9,10,0,3
1,3.97,35,790,1,-1,5.5,7.5,0,2
1,4,35,785,0,0,7,8.3,0,3
1,3.6,33,718,1,1,8,6.8,0,3
1,3.79,34,740,0,-1,8.5,8,0,0
1,3.91,32,717,0,0,8.3,8,0,4
1,3.71,33,770,1,-1,7,8.3,0,4
1,3.84,34,751,1,0,6,9,0,3
1,4,34,746,0,0,10,9,0,4
1,3.7,36,761,0,-1,10,9,0,1
1,3.9,35,780,0,-1,8.3,8.5,0,3
1,3.93,35,783,1,-1,8.5,7.8,0,2
1,4,29,660,1,1,9,9.5,1,3
1,3.8,34,755,1,0,9,8.2,0,0
1,3.89,33,725,0,-1,9,10,0,1
1,4,36,763,0,0,7.8,8.5,0,4
1,3.83,32,760,0,-1,9,8.8,0,3
1,4,35,740,1,0,10,8.9,1,4
1,3.83,32,760,0,-1,9,8.8,0,3
1,4,35,740,1,0,10,8.9,1,4
1,4,35,790,1,-1,7,7,0,4
0,3.42,35,775,1,-1,4,8,0,4
0,3.86,35,780,0,-1,9.5,9,0,4
1,4,36,773,1,0,9,9.2,1,0
1,4,35,775,1,-1,7.5,8,0,1
1,3.95,34,749,0,-1,8,9,1,0
1,3.7,32,723,1,-1,9,9.2,0,4
1,3.9,34,752,0,1,9,8,1,3
1,4,36,700,1,-1,7,7,0,4
1,3.94,34,749,0,0,7.5,9.3,0,0
1,3.88,35,750,0,1,8.8,9,0,3
1,3.96,35,725,1,-1,7.8,9,0,4
0,3.73,32,785,0,0,7.5,9,0,0
1,3.96,36,750,1,0,8,8,0,3
1,3.93,36,785,0,0,8.5,10,0,1
1,3.98,30,678,1,0,7.7,8,0,3
1,4,35,763,1,2,8.7,7,0,3
1,4,35,800,1,0,8.3,8.5,0,4
1,4,35,775,0,-1,8.8,8.5,0,2
1,3.9,35,720,0,2,7,8,0,4
1,3.94,32,760,1,0,9,8.8,0,4
1,3.69,28,626,0,1,9,10,0,4
1,3.69,28,626,0,1,9,10,0,4
1,3.9,34,745,1,-1,9,10,0,4
1,3.92,33,713,1,-1,7,5,0,4
1,4,35,765,1,-1,0.2,8.5,0,3
1,3.97,35,790,1,-1,5.5,7.5,0,4
1,3.98,36,756,1,-1,9,8.5,0,4
1,3.96,32,745,1,1,8,9.2,0,4
1,3.93,34,750,0,0,9,7,0,2
1,3.69,33,732,0,0,8,7.3,0,2
0,3.76,36,765,0,0,7,7,0,4
1,3.94,32,760,1,0,9,8.8,0,4
1,3.5,33,699,0,-1,9,7,0,0
1,3.86,29,668,1,2,9,8,0,4
1,3.7,32,723,1,1,8,10,0,2
1,4,34,730,1,0,9,7.7,0,2
1,3.96,35,766,0,-1,8.6,8,0,1
1,3.97,34,740,1,0,7.5,9,0,4
1,3.88,35,763,1,0,8.5,9,0,4
1,3.85,31,650,0,0,10,10,1,3
1,3.9,35,775,0,0,8.5,8,0,2
1,3.9,35,764,1,0,8.9,9.2,0,0
1,3.964,33,710,1,1,7.5,7.8,0,1
1,3.95,33,732,0,0,8.5,7.5,0,4
1,4,34,795,0,0,8,10,0,0
1,3.9,33,743,0,-1,8,6.5,0,1
0,3.85,28,650,0,0,10,8.5,0,0
0,3.7,33,770,0,-1,9,9,0,2
0,3.86,32,740,0,-1,9,9,0,2
1,3.79,31,706,1,0,8.7,7,0,4
1,3.98,34,786,1,-1,8,6.7,0,3
0,3.6,28,612,1,0,10,10,0,3
1,4,36,776,1,-1,8.5,7.5,0,2
1,3.89,35,706,1,0,7,8.5,0,4
0,3.71,35,763,0,-1,9,8.3,0,2
1,3.72,29,657,1,2,8.5,9.5,1,3
1,3.9,28,648,1,1,7.6,7.5,0,1
1,4,36,770,1,0,9.5,6,0,1
1,3.97,35,800,0,0,8,8,0,1
1,4,32,711,0,0,9.5,9,0,0
1,3.87,35,760,1,-1,9,9.5,0,2
1,3.98,36,757,1,0,8.7,8.5,0,2
1,4,33,729,0,0,8.5,8,0,0
1,4,35,790,1,-1,7,7,0,2
1,3.8,35,755,1,0,9,8.3,0,0
1,3.8,34,765,1,-1,7.7,8,1,4
1,4,33,729,0,-1,9,8.3,0,3
1,3.87,36,750,0,-1,9.5,9.8,1,2
1,3.89,35,730,1,0,9.2,9.5,0,0
1,3.95,36,765,0,-1,7,8,0,2
1,4,33,729,0,0,8,7.7,0,4
1,3.88,34,753,1,2,8,8.3,0,4
1,3.97,34,770,1,0,8.2,8.4,0,1
1,3.7,33,733,1,0,8.5,9,0,0
1,3.75,28,635,1,0,8,10,0,2
0,3.66,32,716,0,-1,7.5,10,0,1
1,3.85,34,751,1,-1,7.7,8.3,0,4
1,4,32,710,0,0,8.8,9,0,3
0,3.73,34,765,0,-1,9,8.4,1,3
0,3.2,31,644,0,0,9,8.5,0,0
1,4,34,800,1,-1,8.8,8,0,4
1,3.9,32,717,1,0,8.5,9.2,0,4
1,3.95,35,770,0,-1,8.4,8.4,0,2
1,3.916,36,774,1,0,8,8,0,4
1,3.95,32,714,1,0,8.5,8.4,0,1
1,3.96,34,748,1,0,9,9.3,0,2
1,4,34,700,0,-1,7.7,8.1,1,3
1,4,29,660,1,0,7.5,9,0,3
1,3.9,36,775,1,0,9.5,9.3,0,0
1,4,29,660,1,-1,8,8,0,4
1,3.99,35,800,1,0,8,8.2,1,2
1,3.98,34,765,1,-1,9,8.7,0,1
1,3.96,33,785,1,-1,7,8.7,0,3
1,3.9,29,665,1,0,9,8,0,1
0,3.95,33,732,0,-1,6.5,8.8,0,1
1,3.98,33,800,0,0,8.8,5,0,3
1,3.94,32,715,0,0,10,10,0,4
1,3.8,31,706,1,0,8,9,0,1
0,4,34,760,1,0,7.5,7.5,0,0
1,3.73,33,735,0,-1,6,5,0,1
1,3.99,32,775,1,0,10,9.3,0,1
1,3.98,33,730,1,0,7.5,8,0,3
1,3.9,33,700,0,0,9,8.5,0,0
1,3.8,35,770,0,-1,8.6,8.2,1,1
1,3.97,33,730,1,-1,8.2,9,0,4
1,3.72,32,724,1,-1,8,7.8,0,4
1,4,35,730,0,-1,9,8.5,1,2
1,3.7,36,761,0,-1,9,9,0,4
1,3.7,36,761,0,-1,9,9,0,4
0,3.7,35,720,0,0,7.5,8.5,0,0
0,3.15,32,643,1,0,8.5,6.7,1,3
0,3.76,33,736,0,-1,8,8,0,3
1,3.95,32,760,1,0,9,8.8,0,2
1,3.96,31,696,0,1,2,9.7,0,2
1,3.9,35,720,0,2,7,8,0,2
1,3.9,36,735,1,0,7,8.6,0,0
1,4,33,720,0,0,9,8.5,0,2
1,3.98,30,800,1,0,8,9.3,1,0
1,3.95,34,749,0,-1,8,9,1,0
0,3.1,32,663,1,0,7.5,6.7,1,1
1,3.88,35,730,1,-1,8,7.3,0,2
1,3.95,34,749,1,0,8,8.3,0,1
1,3.92,32,716,1,0,10,8.8,0,0
1,3.98,34,800,1,-1,8.9,8.9,1,0
1,3.9,27,656,0,0,9,7.5,0,4
0,4,34,700,1,0,9,9.2,0,0
0,3.93,33,733,1,-1,7,9.2,0,1
1,3.8,30,688,0,0,6.7,9.2,1,0
1,3.7,30,557,0,2,8,7,0,0
1,3.95,35,770,0,-1,8.5,9,0,1
0,3.79,34,690,0,0,9,9.2,0,2
0,3.2,36,800,0,-1,5,7.5,0,4
1,3.81,33,755,0,0,8,10,0,4
1,3.89,29,666,1,0,7,8.7,0,4
1,4,34,746,1,-1,7,10,0,0
0,4,33,755,0,-1,9,8.5,0,0
1,3.9,31,700,0,2,8.5,9,0,0
1,3.91,34,785,0,0,7.5,9,0,0
1,4,34,746,0,0,9,8.3,0,4
1,3.94,35,766,0,2,10,8.5,1,3
1,3.76,35,755,0,0,7,9,1,2
1,3.84,35,753,0,-1,7,8.3,0,1
1,3.9,31,700,1,-1,8,7.8,0,4
