GPA,ACT,SAT II
3.54,14,435
3.52,12,441
3.46,11,441
3.52,10,429
3.42,13,429
3.49,11,434
3.62,12,424
3.62,12,449
3.5,12,441
3.47,13,459
3.44,13,448
3.56,15,449
3.63,13,453
3.56,15,449
3.49,14,456
3.59,12,459
3.57,12,452
3.49,11,460
3.54,15,468
3.63,13,475
3.52,12,468
3.61,14,462
3.66,12,462
3.51,14,455
3.58,15,465
3.64,15,462
3.58,14,448
3.69,12,454
3.64,15,486
3.63,14,463
3.65,16,469
3.64,16,457
3.63,13,470
3.7,14,484
3.7,16,470
3.52,14,466
3.66,13,462
3.64,16,487
3.69,15,471
3.65,14,464
3.59,14,490
3.61,14,490
3.64,15,488
3.74,17,507
3.62,14,495
3.68,15,506
3.66,16,482
3.56,17,476
3.63,16,483
3.64,16,504
3.64,15,486
3.68,16,498
3.65,16,518
3.71,14,488
3.68,15,493
3.71,17,491
3.72,18,511
3.7,15,520
3.78,15,517
3.78,17,522
3.67,16,504
3.64,17,507
3.75,16,514
3.67,16,517
3.68,18,521
3.72,16,515
3.78,18,504
3.7,17,521
3.75,19,513
3.8,19,521
3.7,16,532
3.68,16,517
3.74,18,522
3.74,16,531
3.67,19,547
3.68,19,513
3.67,19,534
3.71,17,528
3.69,19,534
3.67,18,516
3.85,17,521
3.73,18,543
3.7,20,525
3.75,19,543
3.75,19,535
3.79,21,548
3.71,19,551
3.87,20,532
3.72,19,534
3.73,18,532
3.82,21,544
3.77,18,568
3.73,18,537
3.77,18,548
3.73,19,565
3.91,19,538
3.77,19,546
3.9,18,571
3.89,21,573
3.79,18,560
3.78,20,574
3.89,18,574
3.88,18,575
3.83,18,559
3.82,20,558
3.77,21,569
3.87,21,563
3.8,19,569
3.9,19,586
3.85,20,587
3.78,19,577
3.95,22,576
3.82,23,590
3.82,21,595
3.79,19,568
3.91,23,578
3.79,22,589
3.82,21,580
3.83,20,583
3.99,20,581
3.88,20,598
3.91,23,584
3.84,23,604
4.0,22,602
3.98,21,606
3.98,20,601
3.85,24,604
3.85,21,617
3.99,23,611
3.94,23,618
4.01,22,623
3.9,22,607
3.93,21,594
3.96,22,592
3.92,22,611
3.93,22,620
3.96,25,609
3.93,23,619
3.9,23,602
3.87,23,635
3.93,24,620
4.07,25,635
3.98,24,632
3.98,22,619
3.97,24,622
4.04,25,627
3.9,26,616
4.05,25,616
4.02,23,619
4.02,24,635
